gestion,mes,dia,estacion,longitud,latitud,altura,Precipitación,Temperatura Máxima,Temperatura Mínima
2015,6,14,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,,
2015,6,15,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,19.20,-3.50
2015,6,16,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,,-3.50
2015,6,17,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,17.00,-0.20
2015,6,18,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,17.90,-4.00
2015,6,19,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,17.20,-4.80
2015,6,20,Potosi Aeropuerto,-65.720833,-19.536667,4100,,,-4.00
2015,6,21,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,,
2015,6,22,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,17.60,-4.80
2015,6,23,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,16.50,-3.00
2015,6,24,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,18.60,-1.00
2015,6,25,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,19.00,-1.20
2015,6,26,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,18.80,-3.00
2015,6,27,Potosi Aeropuerto,-65.720833,-19.536667,4100,,,-1.00
2015,6,28,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,,
2015,6,29,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,15.20,-2.50
2015,6,30,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,18.40,-1.00
2015,7,1,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,17.50,-4.00
2015,7,2,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,15.40,-4.20
2015,7,3,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,15.50,-3.20
2015,7,4,Potosi Aeropuerto,-65.720833,-19.536667,4100,,,1.00
2015,7,5,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,,
2015,7,6,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,11.50,-4.50
2015,7,7,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,8.40,-5.30
2015,7,8,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,13.60,-8.50
2015,7,9,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,16.60,-6.00
2015,7,10,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,17.20,-5.80
2015,7,11,Potosi Aeropuerto,-65.720833,-19.536667,4100,,,-5.90
2015,7,12,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,,
2015,7,13,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,13.50,-6.00
2015,7,14,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,12.80,-6.50
2015,7,15,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,15.50,-7.00
2015,7,16,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,14.50,-6.40
2015,7,17,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,15.60,-5.60
2015,7,18,Potosi Aeropuerto,-65.720833,-19.536667,4100,,,-4.20
2015,7,19,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,,
2015,7,20,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,15.50,-4.50
2015,7,21,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,16.80,-5.60
2015,7,22,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,17.40,-3.80
2015,7,23,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,17.80,-4.90
2015,7,24,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,18.40,-4.20
2015,7,25,Potosi Aeropuerto,-65.720833,-19.536667,4100,,,-4.50
2015,7,26,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,,
2015,7,27,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,18.50,-3.50
2015,7,28,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,16.50,-4.90
2015,7,29,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,16.80,-3.10
2015,7,30,Potosi Aeropuerto,-65.720833,-19.536667,4100,0.00,18.00,-4.00
